n,k,m,BruteForce,WIT,WIT+Bucket,SAIT
0,MEM USAGE : 104036 KB
778,MEM USAGE : 104036 KB
1647,MEM USAGE : 391684 KB
2990,MEM USAGE : 816244 KB
51887,MEM USAGE : 19553140 KB
