n,k,m,BruteForce,IT,ITMW,HINTm,WIT,WIT+Bucket,SAIT
0,VmSize:	   71836 kB
VmRSS:	   39268 kB
99
VmSize:	  107972 kB
VmRSS:	   75364 kB
473
VmSize:	  286884 kB
VmRSS:	  229860 kB
624
VmSize:	  403728 kB
VmRSS:	  352532 kB
383
VmSize:	  722180 kB
VmRSS:	  641624 kB
574
VmSize:	 1220984 kB
VmRSS:	 1134004 kB
16291
VmSize:	19971640 kB
VmRSS:	19836396 kB
2312602,5,0.001,2,2515,2567,4560,1012,14,113
2312602,10,0.001,4,2519,2590,4583,1676,26,121
2312602,15,0.001,6,2544,2595,4613,2212,33,127
2312602,20,0.001,8,2563,2620,4623,2714,41,137
2312602,25,0.001,10,2582,2635,4660,3154,46,144
2312602,30,0.001,13,2593,2657,4671,3558,49,151
2312602,35,0.001,16,2624,2674,4717,3950,54,162
2312602,40,0.001,19,2643,2692,4735,4306,57,170
2312602,45,0.001,22,2663,2716,4758,4648,60,180
2312602,5,0.001,2,2497,2565,4556,1005,14,112
2312602,5,0.005,2,2618,2680,4872,1019,14,100
2312602,5,0.01,1,2778,2823,5238,990,14,93
2312602,5,0.05,1,3859,3856,8092,930,15,69
2312602,5,0.1,1,5024,4868,11463,829,15,58


462520,5,0.001,1,453,458,879,389,13,76
925040,5,0.001,1,894,900,1796,575,14,91
1387561,5,0.001,2,1390,1408,2698,723,13,101
1850081,5,0.001,2,1920,1966,3632,755,14,108
