n,k,m,BruteForce,IT,ITMW,HINTm,WIT,WIT+Bucket,SAIT
0,VmSize:	  137372 kB
VmRSS:	   97380 kB
268
VmSize:	  231968 kB
VmRSS:	  192612 kB
2214
VmSize:	  733860 kB
VmRSS:	  660400 kB
1016
VmSize:	  824340 kB
VmRSS:	  777520 kB
1025
VmSize:	 1614680 kB
VmRSS:	 1531352 kB
1582
VmSize:	 3102688 kB
VmRSS:	 2966124 kB
114263
VmSize:	133934004 kB
VmRSS:	133718748 kB
6053995,5,0.001,10061,216,212,378,415,79,72
6053995,10,0.001,10416,224,222,390,535,96,82
6053995,15,0.001,10860,236,233,405,621,112,93
6053995,20,0.001,11330,246,244,417,691,126,104
6053995,25,0.001,11568,259,257,430,754,141,116
6053995,30,0.001,11732,268,265,442,799,155,124
6053995,35,0.001,11906,281,278,456,849,168,137
6053995,40,0.001,12030,290,288,467,888,182,146
6053995,45,0.001,12223,300,299,480,929,194,155
6053995,5,0.001,9966,212,210,376,412,80,71
6053995,5,0.005,9590,763,744,1455,446,69,63
6053995,5,0.01,8606,1449,1395,2802,460,66,59
6053995,5,0.05,5690,6988,5931,13763,513,54,54
6053995,5,0.1,1769,14345,10474,28232,562,29,54


1210799,5,0.001,1376,58,53,116,122,15,49
2421598,5,0.001,762,108,104,206,235,16,65
3632397,5,0.001,5505,142,139,263,279,37,64
4843196,5,0.001,7977,176,175,315,342,55,70
